"Country Code","Short Name","Table Name","Long Name","2-alpha code","Currency Unit","Special Notes","Region","Income Group","WB-2 code","National accounts base year","National accounts reference year","SNA price valuation","Lending category","Other groups","System of National Accounts","Alternative conversion factor","PPP survey year","Balance of Payments Manual in use","External debt Reporting status","System of trade","Government Accounting concept","IMF data dissemination standard","Latest population census","Latest household survey","Source of most recent Income and expenditure data","Vital registration complete","Latest agricultural census","Latest industrial data","Latest trade data",
"ARG","","Argentina","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ARM","","Armenia","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"AUS","","Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"AUT","","Austria","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"BEL","","Belgium","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"BLR","","Belarus","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"BRA","","Brazil","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"CAN","","Canada","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"CHE","","Switzerland","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"CHL","","Chile","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"CHN","","China","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"COL","","Colombia","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"CRI","","Costa Rica","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"CYP","","Cyprus","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"CZE","","Czech Republic","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"DEU","","Germany","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"DNK","","Denmark","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ECU","","Ecuador","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"EGY","","Egypt","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"EMU","","EURO Area","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ESP","","Spain","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"EST","","Estonia","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"FJI","","Fiji","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"FRA","","France","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"GEO","","Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"GRC","","Greece","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"HKG","","Hong Kong SAR, China","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"HRV","","Croatia","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"HUN","","Hungary","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDN","","Indonesia","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IND","","India","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IRL","","Ireland","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ISL","","Iceland","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ISR","","Israel","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ITA","","Italy","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"JOR","","Jordan","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"JPN","","Japan","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"KAZ","","Kazakhstan","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"KOR","","Korea","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"LTU","","Lithuania","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"LUX","","Luxembourg","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"LVA","","Latvia","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"MDA","","Moldova","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"MEX","","Mexico","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"MKD","","North Macedonia","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"MLT","","Malta","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"MUS","","Mauritius","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"MYS","","Malaysia","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"NLD","","Netherlands","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"NOR","","Norway","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"PHL","","Philippines","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"POL","","Poland","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"PRT","","Portugal","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ROU","","Romania","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"RUS","","Russian Federation","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SGP","","Singapore","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SLE","","Sierra Leone","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SLV","","El Salvador","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SVK","","Slovak Republic","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SVN","","Slovenia","","","","","","","","","","","","","","","","","","","","","","","","","","","",
